"","Edad","Hombres","Mujeres"
"1","0-4",8819.61471696166,8706.43258605599
"2","5-9",9952.40926776407,9484.02465952075
"3","10-14",9329.63448578358,9032.13672094073
"4","15-19",8051.18243459415,7899.35598024262
"5","20-24",6647.61352494969,7059.67148060305
"6","25-29",6402.37449300789,7614.25554456676
"7","30-34",7700.18094844935,8879.34187745625
"8","35-39",8135.53017699572,8702.87195397151
"9","40-44",6304.85326900253,6633.70744228716
"10","45-49",4245.23248877651,4648.3114854322
"11","50-54",3127.98389493782,3507.16013597411
"12","55-59",2301.86300118685,2520.49024519841
"13","60-64",1514.57578306414,1669.06190640304
"14","65-69",903.101475824346,1040.14183927232
"15","70-74",566.584576087517,653.532155574258
"16","75-79",328.650270911812,452.762479793751
"17","80-84",181.806532844832,280.852664066322
"18","85 y mas",179.808658857526,211.888842640784
