"","Edad","Hombres","Mujeres"
"1","0 Años",1510,1585
"2","1 Año",1655,1635
"3","2 Años",1850,1737
"4","3 Años",1853,1890
"5","4 Años",1961,1864
"6","5 Años",1959,1896
"7","6 Años",1952,1875
"8","7 Años",2010,1955
"9","8 Años",1987,1890
"10","9 Años",2055,1873
"11","10 Años",2046,1971
"12","11 Años",1819,1800
"13","12 Años",1844,1878
"14","13 Años",1745,1666
"15","14 Años",1760,1710
"16","15 Años",1813,1685
"17","16 Años",1675,1618
"18","17 Años",1745,1683
"19","18 Años",1536,1558
"20","19 Años",1438,1448
"21","20 Años",1430,1549
"22","21 Años",1249,1259
"23","22 Años",1413,1421
"24","23 Años",1250,1307
"25","24 Años",1216,1337
"26","25 Años",1255,1466
"27","26 Años",1216,1427
"28","27 Años",1223,1482
"29","28 Años",1319,1635
"30","29 Años",1226,1557
"31","30 Años",1676,1903
"32","31 Años",1185,1493
"33","32 Años",1596,1918
"34","33 Años",1566,1826
"35","34 Años",1652,1787
"36","35 Años",1765,1957
"37","36 Años",1732,1913
"38","37 Años",1779,1750
"39","38 Años",1821,1845
"40","39 Años",1471,1521
"41","40 Años",1582,1790
"42","41 Años",1007,1067
"43","42 Años",1445,1482
"44","43 Años",1118,1151
"45","44 Años",934,975
"46","45 Años",1049,1088
"47","46 Años",828,895
"48","47 Años",816,874
"49","48 Años",797,853
"50","49 Años",688,832
"51","50 Años",889,1001
"52","51 Años",506,569
"53","52 Años",674,756
"54","53 Años",561,670
"55","54 Años",554,644
"56","55 Años",581,636
"57","56 Años",507,519
"58","57 Años",406,414
"59","58 Años",417,459
"60","59 Años",385,414
"61","60 Años",455,514
"62","61 Años",219,259
"63","62 Años",293,331
"64","63 Años",297,344
"65","64 Años",285,279
"66","65 Años",241,281
"67","66 Años",176,198
"68","67 Años",138,188
"69","68 Años",176,183
"70","69 Años",114,147
"71","70 Años",155,200
"72","71 Años",87,86
"73","72 Años",134,148
"74","73 Años",118,130
"75","74 Años",117,103
"76","75 Años",95,132
"77","76 Años",67,93
"78","77 Años",41,71
"79","78 Años",80,96
"80","79 Años",46,61
"81","80 Años",49,92
"82","81 Años",24,36
"83","82 Años",40,58
"84","83 Años",32,48
"85","84 Años",37,47
"86","85 Años",36,41
"87","86 Años",33,34
"88","87 Años",25,21
"89","88 Años",15,29
"90","89 Años",14,16
"91","90 Años",22,21
"92","91 Años",3,7
"93","92 Años",6,6
"94","93 Años",3,6
"95","94 Años",3,2
"96","95 Años",3,8
"97","96 Años",3,4
"98","97 Años",1,3
"99","98 Años",4,4
"100","99 Años",6,1
"101","100 años y más",3,9
