Edad,Hombres,Mujeres
0 Años,1510,1585
1 Año,1655,1635
2 Años,1850,1737
3 Años,1853,1890
4 Años,1961,1864
5 Años,1959,1896
6 Años,1952,1875
7 Años,2010,1955
8 Años,1987,1890
9 Años,2055,1873
10 Años,2046,1971
11 Años,1819,1800
12 Años,1844,1878
13 Años,1745,1666
14 Años,1760,1710
15 Años,1813,1685
16 Años,1675,1618
17 Años,1745,1683
18 Años,1536,1558
19 Años,1438,1448
20 Años,1430,1549
21 Años,1249,1259
22 Años,1413,1421
23 Años,1250,1307
24 Años,1216,1337
25 Años,1255,1466
26 Años,1216,1427
27 Años,1223,1482
28 Años,1319,1635
29 Años,1226,1557
30 Años,1676,1903
31 Años,1185,1493
32 Años,1596,1918
33 Años,1566,1826
34 Años,1652,1787
35 Años,1765,1957
36 Años,1732,1913
37 Años,1779,1750
38 Años,1821,1845
39 Años,1471,1521
40 Años,1582,1790
41 Años,1007,1067
42 Años,1445,1482
43 Años,1118,1151
44 Años,934,975
45 Años,1049,1088
46 Años,828,895
47 Años,816,874
48 Años,797,853
49 Años,688,832
50 Años,889,1001
51 Años,506,569
52 Años,674,756
53 Años,561,670
54 Años,554,644
55 Años,581,636
56 Años,507,519
57 Años,406,414
58 Años,417,459
59 Años,385,414
60 Años,455,514
61 Años,219,259
62 Años,293,331
63 Años,297,344
64 Años,285,279
65 Años,241,281
66 Años,176,198
67 Años,138,188
68 Años,176,183
69 Años,114,147
70 Años,155,200
71 Años,87,86
72 Años,134,148
73 Años,118,130
74 Años,117,103
75 Años,95,132
76 Años,67,93
77 Años,41,71
78 Años,80,96
79 Años,46,61
80 Años,49,92
81 Años,24,36
82 Años,40,58
83 Años,32,48
84 Años,37,47
85 Años,36,41
86 Años,33,34
87 Años,25,21
88 Años,15,29
89 Años,14,16
90 Años,22,21
91 Años,3,7
92 Años,6,6
93 Años,3,6
94 Años,3,2
95 Años,3,8
96 Años,3,4
97 Años,1,3
98 Años,4,4
99 Años,6,1
100 años y más,3,9
No especificado,684,680
